"Employee_id","Name","Gender","tel","Address","Salary","work_on"
"3601031000","Pornthep Mala","M","0897975321","160/89
Rachathani vil 3
Khong-thanon,Saimai
Bangkok,10220","26050","3"
"3701031000","Mariam Khankaw","F","0868829532","111/120 Khong-prem-pracha vil Luksi,Donmuang Bangkok,11050","27000","1"
"5902010006","Orawan Kaokai","F","0897729538","111/89
Soi-Annex vil
Saimai,Saimai
Bangkok,10220","22560","5"
"5902010007","Thai Peungpa","M","0897729531","160/89
Rachathani vil 5
Khong-thanon,Saimai
Bangkok,10220","22560","1"
"6101010001","Jakkapat Srikacha","M","0903713263","73/1
Subswong town
Khanongpra,Pakchong
Nakhonrachasima,30130","50000","1"
"6101010002","Kanghawan Madee","M","0827795623","450/6
Subswong town
Khanongpra,Pakchong
Nakhonrachasima,30130","50000","2"
"6101010003","Jonh wick","M","0903713278","73/1
Subswong town
Khanongpra,Pakchong
Nakhonrachasima,30130","50000","3"
"6101010004","Jakaruek longken","M","0913713263","73/1
Subswong town
Khanongpra,Pakchong
Nakhonrachasima,30130","5000","4"
"6101010005","Nuttha jarumasna","F","0817795623","73/1
Subswong town
Khanongpra,Pakchong
Nakhonrachasima,30130","50000","5"
"6101010006","Chavapee Manocha","M","0903713763","73/1
Subswong town
Khanongpra,Pakchong
Nakhonrachasima,30130","50000","6"
"6101010007","Vanesara Kirddee","F","0897729532","111/89
Khong-prem-pracha vil
Luksi,Donmuang
Bangkok,11050","9000","1"
"6101020001","Suhan Pohtae","M","0858958075","160/89
Rachathani vil 4
Khong-thanon,Saimai
Bangkok,10220","22500","5"
"6101020002","John Wat","M","0858944078","160/89
Rachathani vil 2
Khong-thanon,Saimai
Bangkok,10220","22500","5"
"6101020003","James  Maddison","M","0613978066","70/79
Khong-prem-pracha vil
Luksi,Donmuang
Bangkok,11050","9000","1"
"6101020004","Laos Puengkai","M","0613978055","110/59
Rachathani vil 4
Khong-thanon,Saimai
Bangkok,10220","21000","2"
"6101020005","Natthaporn   sandee","F","0613456567","76/10
Rachapluke vil 1
Klongsan,Klongsan
Bangkok,10600","9000","4"
"6101020006","Gareth Barry","M","0609879980","112/59
Rachathani vil 4
Khong-thanon,Saimai
Bangkok,10220","9000","2"
"6101020007","Clark Kant","M","0855647782","159/56
Rachathani vil 1
Khong-thanon,Saimai
Bangkok,10220","9000","3"
"6101020008","Yostawee Sriladda","M","0878788787","96/94
Rachathani vil 7
Khong-thanon,Saimai
Bangkok,10220","9000","6"
"6101030001","Teenoi  Saetang","M","0899664523","144/97
Rachathani vil 3
Khong-thanon,Saimai
Bangkok,10220","21000","2"
"6101030002","Udom  Sombune","M","0657874352","73/1
Nongnam town
Khanongpra,Pakchong
Nakhonrachasima,30130","9000","2"
"6101030003","Thanaporn  Rakdee","F","0899880764","76/10
Nongyasai twon
Khanongpra,Pakchong
Nakhonrachasima,30130","9000","4"
"6101030004","Somchai   Phupan","M","0869946472","74/1
Nongyasai town
Khanongpra,Donchedi
Suphanburi,72120","9000","5"
"6101030005","Bernard   Duffin","M","0899778324","70/2
Sabaidee vill
Klongsong,KlongLuang
Phatumthani,30130","9000","5"
"6101030006","Kasarn Suksiri","M","0872355426","54/60
Subswong town
Khanongpra,Pakchong
Nakhonrachasima,30130","9000","6"
"6101030007","Mamuang   Namprawan","F","0877644662","60/55
Khong-prem-pracha vil
Luksi,Donmuang
Bangkok,11050","26000","6"
"6101030008","Korrakot Wiriya","M","0896044567","30/131
Lucky vil
Bangkokyaii,Thonburi
Bangkok,10500","21500","3"
"6101040001","Panya  Aromdee","M","0613966704","52/63
Khong-prem-pracha vil
Luksi,Donmuang
Bangkok,11050","9000","3"
"6101040002","Thanakorn   Nornlarb","M","0899855094","30/24
Khong-prem-prachakorn vil
Luksi,Donmuang
Bangkok,11050","9000","2"
"6101040003","Eakkawit Panya","M","0618077652","50/49
Khog prapa vil
Bangsuei,Bangsue
Bangkok,11050","9000","1"
"6101040004","Watson  Yuyong","M","0858768900","120/90
Rachathani vil 1
Khong-thanon,Saimai
Bangkok,10220","25000","2"
"6101040005","Rattana   Thamrong","F","0899213423","70/10
Charoenrat town
Talardpool , klongsan
Bangkok,10600","9000","5"
"6101040006","Thatsapon   saegwoe","M","0855673442","144/97
Rachathani vil 3
Khong-thanon,Saimai
Bangkok,10220","22500","2"
"6101040007","Onjira  Naja","F","0876432315","40/29
Rachathani vil 4
Khong-thanon,Saimai
Bangkok,10220","9000","6"
"6101040008","Rodsak  Raktham","M","0899044672","100/58
Rachathani vil 4
Khong-thanon,Saimai
Bangkok,10220","9000","4"
"6101040009","Marcus   Suporn","M","0855244317","50/20
Rachathani vil 2
Khong-thanon,Saimai
Bangkok,10220","9000","6"
"6101050001","Sunisa  Kanasongtung","F","0886644552","22/14
Rachathani vil 1
Khong-thanon,Saimai
Bangkok,10220","9000","4"
"6101050002","Kotchakorn  Rornchang","F","0878032778","27/10
Rachathani vil 2
Khong-thanon,Saimai
Bangkok,10220","21000","5"
"6101050003","Nuengdiaw Dangwongsri","M","0878044560","28/10
Rachathani vil 3
Khong-thanon,Saimai
Bangkok,10220","9000","6"
"6101050004","Jarupat  Chatjen","M","0866944093","20/38
Rachathani vil 4
Khong-thanon,Saimai
Bangkok,10220","21000","3"
"6101050005","Chatinat Tattum","M","0899700845","29/10
Rachathani vil 4
Khong-thanon,Saimai
Bangkok,10220","21500","2"
"6101050006","Surapos Sodnum","M","0899455231","23/39
Rachathani vil 2
Khong-thanon,Saimai
Bangkok,10220","21000","4"
